Lat,Long,Propane
44.419112,-86.130624,5.9155
44.420986,-86.130747,4.412
44.422896,-86.130894,6.82
44.419534,-86.141194,1.625
44.416868,-86.141032,1.82
44.415149,-86.14112,1.471
44.41135,-86.14105,5.6575
44.413322,-86.141197,3.151
44.416959,-86.137552,2.083
44.416874,-86.133383,7.15
44.416694,-86.128713,6.724
44.416837,-86.122731,5.1055
44.414429,-86.132766,1.348
44.413151,-86.124583,2.959
44.412777,-86.120418,2.048
44.410455,-86.120453,1.82
44.412712,-86.117782,4.004
44.41197,-86.101226,6.8095
44.410012,-86.100553,1.8875
44.408014,-86.100646,3.772
44.406322,-86.100722,4.3175
44.412176,-86.104463,12.838
44.410429,-86.107881,2.155
44.414124,-86.104911,2.012
44.412286,-86.106999,2.845
44.41244,-86.109509,1.253
44.412541,-86.112006,1.182
44.41052,-86.11264,1.274
44.414129,-86.11251,1.8655
44.416146,-86.112479,1.38
44.412578,-86.11443,1.568
44.414239,-86.115058,1.4125
44.416093,-86.115018,2.728
44.417673,-86.114366,3.247
44.410919,-86.115284,0
44.409036,-86.115086,0
44.409273,-86.117808,0
44.41091,-86.117595,1.8805
44.412733,-86.11709,0
44.408745,-86.120554,1.0625
44.413066,-86.122851,1.2145
44.41504,-86.125547,2.101
44.4192,-86.125635,1.2065
44.41909,-86.127735,0
44.415106,-86.128309,0
44.415125,-86.130796,2.554
44.419357,-86.133195,0
44.419207,-86.136011,0
44.41927,-86.138347,4.3565
44.415227,-86.135856,1.94
44.415057,-86.138421,1.0725
44.419779,-86.100428,6.8095
44.41705,-86.141243,4.441
44.416928,-86.135806,5.9155
44.416771,-86.130571,12.735
44.416699,-86.125798,4.9995
44.407577,-86.143417,3.0755
44.407595,-86.140955,4.7945
44.407522,-86.138444,4.4755
44.407557,-86.135932,12.662
44.407509,-86.133169,10.6015
44.407437,-86.13086,3.1355
44.407464,-86.128385,3.962
44.416437,-86.125702,5.482
44.407416,-86.123362,1.173
44.409226,-86.123348,3.484
44.409269,-86.120797,5.5895
44.409304,-86.126499,4.3845
44.409264,-86.128371,19.593
44.409193,-86.130821,0
44.409295,-86.13357,0
44.409593,-86.13614,3.113
44.409701,-86.1385,1.974
44.40945,-86.141028,1.032
44.409657,-86.143462,0
44.417048,-86.140992,2.496
44.417048,-86.140992,1.95
44.417048,-86.140992,3.078
44.417048,-86.140992,2.59
44.417048,-86.140992,1.293
44.417048,-86.140992,0
44.417048,-86.140992,1.58
44.417048,-86.140992,1.3325
44.417048,-86.140992,4.1065
44.417048,-86.140992,1.287
44.417048,-86.140992,6.529
44.417048,-86.140992,3.004
44.407474,-86.120334,2.8425
44.407387,-86.118364,1.141
44.407367,-86.11584,2.101
44.414626,-86.123217,5.9135
44.414589,-86.120743,0
44.414498,-86.118245,0
44.417423,-86.118075,0
44.417344,-86.120689,0
44.419089,-86.11815,3.284
44.419319,-86.120056,0
44.419075,-86.110639,4.776
44.414779,-86.143362,1.3445
44.412979,-86.143388,0
44.413346,-86.138358,0
44.413372,-86.135796,2.497
44.413372,-86.13346,0
44.411176,-86.133505,3.22
44.411022,-86.122831,0
44.411041,-86.125343,1.168
44.410901,-86.128233,3.939
44.411074,-86.130843,0
44.411083,-86.133104,0
44.413259,-86.131577,0
44.412901,-86.128317,1.9975
44.410753,-86.13591,0
44.410368,-86.138616,1.0995
44.422896,-86.130932,2.279
44.422896,-86.130932,2.509
44.422896,-86.130932,6.9465
44.420959,-86.130735,3.451
44.420959,-86.130735,3.3005
44.420959,-86.130735,0
44.419534,-86.141194,1.623
44.419534,-86.141194,4.544
44.419534,-86.141194,2.982
44.407577,-86.140955,0
44.407577,-86.140955,0
44.407577,-86.140955,0
44.416873,-86.122731,0
44.416873,-86.122731,5.2935
44.416873,-86.122731,6.799
44.413075,-86.122863,1.252
44.413075,-86.122863,2.045
44.408763,-86.120529,0
44.408763,-86.120529,0
44.411022,-86.122818,1.912
44.411022,-86.122818,1.245
44.415106,-86.128309,0
44.415106,-86.128309,0
44.415125,-86.130796,0
44.415125,-86.130796,0
